input log file location, C:\Users\hotschmoe\Documents\GitHub\specula\results\qualcomm_dissect\prof\clean_part3\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.45.40.260406130939
qnn-net-run version, v2.45.40.260406130939
Backend version, v2.45.40.260406130939
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
18158377662,INIT,1514035,US,NETRUN,ROOT,null
18158377662,INIT,722154,US,BACKEND,ROOT,RPC (load binary) time
18158377662,INIT,691605,US,BACKEND,ROOT,QNN accelerator (load binary) time
18158377662,INIT,54963,US,BACKEND,ROOT,Accelerator (load binary) time
18158377662,INIT,52630,US,BACKEND,ROOT,Accelerator (load binary) time
18158377662,INIT,52740,US,BACKEND,ROOT,Accelerator (load binary) time
18158377662,INIT,58095,US,BACKEND,ROOT,Accelerator (load binary) time
18158377662,INIT,64797,US,BACKEND,ROOT,Accelerator (load binary) time
18158377662,INIT,59972,US,BACKEND,ROOT,Accelerator (load binary) time
18158377662,INIT,86758,US,BACKEND,ROOT,Accelerator (load binary) time
18158377662,INIT,69876,US,BACKEND,ROOT,Accelerator (load binary) time
18158377662,INIT,98976,US,BACKEND,ROOT,Accelerator (load binary) time
18158377662,INIT,89509,US,BACKEND,ROOT,Accelerator (load binary) time
18158377662,INIT,1514003,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
18172709671,DE-INIT,594968,US,NETRUN,ROOT,null
18172709671,DE-INIT,1507,US,BACKEND,ROOT,RPC (deinit) time
18172709671,DE-INIT,1058,US,BACKEND,ROOT,QNN Accelerator (deinit) time
18172709671,DE-INIT,192,US,BACKEND,ROOT,Accelerator (deinit) time
18172709671,DE-INIT,90,US,BACKEND,ROOT,Accelerator (deinit) time
18172709671,DE-INIT,92,US,BACKEND,ROOT,Accelerator (deinit) time
18172709671,DE-INIT,85,US,BACKEND,ROOT,Accelerator (deinit) time
18172709671,DE-INIT,88,US,BACKEND,ROOT,Accelerator (deinit) time
18172709671,DE-INIT,80,US,BACKEND,ROOT,Accelerator (deinit) time
18172709671,DE-INIT,85,US,BACKEND,ROOT,Accelerator (deinit) time
18172709671,DE-INIT,86,US,BACKEND,ROOT,Accelerator (deinit) time
18172709671,DE-INIT,83,US,BACKEND,ROOT,Accelerator (deinit) time
18172709671,DE-INIT,138,US,BACKEND,ROOT,Accelerator (deinit) time
18172709671,DE-INIT,594933,US,BACKEND,ROOT,QNN (deinit) time
18158568494,EXECUTE,13040,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
18158568494,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18158568494,EXECUTE,12968,US,BACKEND,ROOT,RPC (execute) time
18158568494,EXECUTE,12167,US,BACKEND,ROOT,QNN accelerator (execute) time
18158568494,EXECUTE,11932,US,BACKEND,ROOT,Accelerator (execute) time
18158568494,EXECUTE,11345,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18158568494,EXECUTE,13024,US,BACKEND,ROOT,QNN (execute) time
18162361963,EXECUTE,12144,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
18162361963,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18162361963,EXECUTE,12093,US,BACKEND,ROOT,RPC (execute) time
