backend,pp_tps,tg_tps,pp_tokens,tg_tokens,pp_time_s,tg_time_s,wall_s,mwh_before,mwh_after,mwh_drop,mean_w,n_power_samples,j_per_tok,power_state,ok,notes
npu-genie,1725.6488035052253,26.143161176748787,512,3582,0.2966999999999998,137.0148,145.9807650999992,,,,,0,,ac,True,
cpu,174.210863,39.51975,512,128,2.9391334,3.238907233,23.366943299999548,,,,,0,,ac,True,
cpu-kleidiai,168.839066,39.253403,512,128,3.032710333,3.2608642,23.267178199999762,,,,,0,,ac,True,
gpu-opencl,382.466264,23.585126,512,128,1.338795633,5.427174966,31.845550800000638,,,,,0,,ac,True,
gpu-vulkan,6.276206,30.233517,512,128,81.577972433,4.233722366,342.70879090000017,,,,,0,,ac,True,
