backend,model,ctx_depth,tg_tps,pp_tps,wall_s,ok,notes,power_state,env
cpu,Qwen3.6-35B-A3B-Q4_K_M.gguf,4096,,,20.0,0,"llama-bench exit 1; stderr tail: llama-bench: benchmark 1/1: starting
main: error: failed to create context with model 'C:\Users\hotschmoe\Documents\GitHub\specula\models\Qwen3.6-35B-A3B-Q4_K_M.gguf'",ac,
cpu,Qwen3.6-35B-A3B-Q4_K_M.gguf,32768,,,16.0,0,"llama-bench exit 1; stderr tail: llama-bench: benchmark 1/1: starting
main: error: failed to create context with model 'C:\Users\hotschmoe\Documents\GitHub\specula\models\Qwen3.6-35B-A3B-Q4_K_M.gguf'",ac,
cpu,Qwen3.6-35B-A3B-Q4_K_M.gguf,131072,,,26.0,0,"llama-bench exit 1; stderr tail: llama-bench: benchmark 1/1: starting
main: error: failed to create context with model 'C:\Users\hotschmoe\Documents\GitHub\specula\models\Qwen3.6-35B-A3B-Q4_K_M.gguf'",ac,
