tag,k,max_rounds,max_committed,ctx_tier,prompt_tokens,stop_reason,rounds,n_committed,total_npu_decode_s,total_npu_commit_s,total_target_eval_s,target_prefill_s,npu_open_s,total_loop_s,spec_decode_t_s,baseline_t_s,mean_accept_per_K
sq1_c_stateful_json_k8_r4_2026-04-28,8,4,64,2048,85,max_rounds,4,33,1.2549251999880653,0.7453291999991052,4.060691400023643,9.914168200019049,3.475003600004129,6.062833600008162,5.442999458199806,2.2230356137395066,7.25
sq1_c_stateful_python_k8_r4_2026-04-28,8,4,64,2048,72,max_rounds,4,24,1.4250632000039332,0.7692503999569453,3.9492122000083327,7.775839800015092,2.994836800004123,6.145427000010386,3.9053429484980358,3.675324772796666,5.0
