input log file location, C:\Users\hotschmoe\Documents\GitHub\specula\results\qualcomm_dissect\prof\clean_part1\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.45.40.260406130939
qnn-net-run version, v2.45.40.260406130939
Backend version, v2.45.40.260406130939
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
18154560763,EXECUTE,251,US,BACKEND,ROOT,QNN (execute) time
18154818905,EXECUTE,157,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_1_of_4
18154818905,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154818905,EXECUTE,118,US,BACKEND,ROOT,RPC (execute) time
18154818905,EXECUTE,46,US,BACKEND,ROOT,QNN accelerator (execute) time
18154818905,EXECUTE,29,US,BACKEND,ROOT,Accelerator (execute) time
18154818905,EXECUTE,3,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18154818905,EXECUTE,147,US,BACKEND,ROOT,QNN (execute) time
18154969475,EXECUTE,119,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_1_of_4
18154969475,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154969475,EXECUTE,109,US,BACKEND,ROOT,RPC (execute) time
18154969475,EXECUTE,36,US,BACKEND,ROOT,QNN accelerator (execute) time
18154969475,EXECUTE,22,US,BACKEND,ROOT,Accelerator (execute) time
18154969475,EXECUTE,3,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18154969475,EXECUTE,117,US,BACKEND,ROOT,QNN (execute) time
18155121014,EXECUTE,529,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_1_of_4
18155121014,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18155121014,EXECUTE,516,US,BACKEND,ROOT,RPC (execute) time
18155121014,EXECUTE,359,US,BACKEND,ROOT,QNN accelerator (execute) time
18155121014,EXECUTE,345,US,BACKEND,ROOT,Accelerator (execute) time
18155121014,EXECUTE,4,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18155121014,EXECUTE,525,US,BACKEND,ROOT,QNN (execute) time
18155276251,EXECUTE,171,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_1_of_4
18155276251,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18155276251,EXECUTE,149,US,BACKEND,ROOT,RPC (execute) time
18155276251,EXECUTE,35,US,BACKEND,ROOT,QNN accelerator (execute) time
18155276251,EXECUTE,20,US,BACKEND,ROOT,Accelerator (execute) time
18155276251,EXECUTE,3,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18155276251,EXECUTE,163,US,BACKEND,ROOT,QNN (execute) time
18155427699,EXECUTE,169,US,NETRUN,ROOT,Graph 1: token_ar1_cl512_1_of_4
18155427699,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18155427699,EXECUTE,155,US,BACKEND,ROOT,RPC (execute) time
18155427699,EXECUTE,34,US,BACKEND,ROOT,QNN accelerator (execute) time
18155427699,EXECUTE,21,US,BACKEND,ROOT,Accelerator (execute) time
18155427699,EXECUTE,3,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18155427699,EXECUTE,166,US,BACKEND,ROOT,QNN (execute) time
